#set of nodos
set NODES := 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24;
set CLIENTS := 3 5 8 11 12 13 14 17 18 19 21 23;
#set of  origins
set ORIGIN := 3;

#fixed links
set ARCS :=
  (1, 2) (1, 4)
  (2, 1) (2, 3)
  (3, 2) (3, 6) (3, 7)
  (4, 1) (4, 5) (4, 9)
  (5, 4) (5, 6) (5, 10)
  (6, 3) (6, 5) (6, 14)
  (7, 3) (7, 14) (7, 19)
  (8, 9) (8, 11)
  (9, 4) (9, 8) (9, 10) (9, 12)
  (10, 5) (10, 9) (10, 13)
  (11, 8) (11, 12) (11, 22)
  (12, 9) (12, 11) (12, 13) (12, 15)
  (13, 10) (13, 12) (13, 14) (13, 15) (13, 17)
  (14, 6) (14, 7) (14, 13) (14, 18)
  (15, 12) (15, 13) (15, 16)
  (16, 15) (16, 17) (16, 22)
  (17, 13) (17, 16) (17, 18) (17, 20)
  (18, 14) (18, 17) (18, 21)
  (19, 7) (19, 24)
  (20, 17) (20, 21) (20, 22) (20, 23)
  (21, 18) (21, 20) (21, 24)
  (22, 11) (22, 16) (22, 20) (22, 23)
  (23, 20) (23, 24)
  (24, 19) (24, 21)
;

# xc: x coordinates of nodes
param xcoord:= 	1 2
		2 3
		3 4
		4 2
		5 3
		6 4
		7 5
		8 1
		9 2
		10 3
		11 1
		12 2
		13 3
		14 4
		15 2.5
		16 2
		17 3
		18 4
		19 5
		20 3
		21 4
		22 1
		23 3
		24 4;

# yc: y coordinates of nodes
param ycoord:= 	1 1
		2 1
		3 1
		4 2
		5 2
		6 2
		7 2
		8 3
		9 3
		10 3
		11 4
		12 4
		13 4
		14 4
		15 5
		16 6
		17 6
		18 6
		19 6
		20 7
		21 7
		22 8
		23 8
		24 8;

#right hand side at nodes
param demand :=
               3    -110 /* Valor modificable */
               5    10
               8    10
               11   10
               12   10
               13   10
               14   10
               17   10
               18   10
               19   10
               21   10
               23		10;


param C := 40;
param K := 3;
/*
param t default 0 :	3	      11 :=
                3    100     0
                5    -10     -10
                8    -10     -10
                11   0       100
                12   -10     -10
                13   -10     -10
                14   -10     -10
                17   -10     -10
                18   -10     -10
                19   -10     -10
                21   -10     -10
                23		-10     -10;
*/
